train dataset: size=1
val dataset: size=1
model_G: #params=113.6M
epoch 1/300, lr_G=0.000010, loss0=0.0221, loss1=0.0221, 3.2s 3.2s/16.1m
epoch 2/300, lr_G=0.000010, loss0=0.4688, loss1=0.6805, 2.7s 5.9s/14.8m
epoch 3/300, lr_G=0.000010, loss0=0.4870, loss1=0.5973, 2.6s 8.5s/14.2m
epoch 4/300, lr_G=0.000010, loss0=0.4301, loss1=0.5175, 2.6s 11.1s/13.9m
epoch 5/300, lr_G=0.000010, loss0=0.3864, loss1=0.6303, 2.6s 13.7s/13.7m
epoch 6/300, lr_G=0.000010, loss0=0.3649, loss1=0.4489, 2.6s 16.3s/13.5m
epoch 7/300, lr_G=0.000010, loss0=0.3514, loss1=0.5509, 2.6s 18.9s/13.5m
epoch 8/300, lr_G=0.000010, loss0=0.2936, loss1=0.5724, 2.6s 21.4s/13.4m
epoch 9/300, lr_G=0.000010, loss0=0.2551, loss1=0.3114, 2.6s 24.0s/13.3m
epoch 10/300, lr_G=0.000010, loss0=0.2796, loss1=0.4588, val: psnr0=12.3030, val: psnr1=4.8800, 5.0s 29.0s/14.5m
epoch 11/300, lr_G=0.000010, loss0=0.2560, loss1=0.3300, 2.5s 31.5s/14.3m
epoch 12/300, lr_G=0.000010, loss0=0.2155, loss1=0.3548, 2.4s 33.9s/14.1m
epoch 13/300, lr_G=0.000010, loss0=0.0960, loss1=0.1503, 2.4s 36.3s/14.0m
epoch 14/300, lr_G=0.000010, loss0=0.1382, loss1=0.4223, 2.5s 38.8s/13.9m
epoch 15/300, lr_G=0.000010, loss0=0.2117, loss1=0.2585, 2.6s 41.4s/13.8m
epoch 16/300, lr_G=0.000010, loss0=0.0684, loss1=0.0685, 2.5s 44.0s/13.7m
epoch 17/300, lr_G=0.000010, loss0=0.1446, loss1=0.2438, 2.5s 46.5s/13.7m
epoch 18/300, lr_G=0.000010, loss0=0.1314, loss1=0.1291, 2.5s 49.0s/13.6m
epoch 19/300, lr_G=0.000010, loss0=0.1041, loss1=0.2522, 2.6s 51.6s/13.6m
epoch 20/300, lr_G=0.000010, loss0=0.1434, loss1=0.2919, val: psnr0=17.0781, val: psnr1=18.6308, 6.0s 57.6s/14.4m
epoch 21/300, lr_G=0.000010, loss0=0.0410, loss1=0.0411, 3.2s 1.0m/14.5m
epoch 22/300, lr_G=0.000010, loss0=0.1168, loss1=0.1761, 2.6s 1.1m/14.4m
epoch 23/300, lr_G=0.000010, loss0=0.1354, loss1=0.2156, 2.6s 1.1m/14.4m
epoch 24/300, lr_G=0.000010, loss0=0.0881, loss1=0.0904, 2.6s 1.1m/14.3m
epoch 25/300, lr_G=0.000010, loss0=0.1630, loss1=0.2322, 2.5s 1.2m/14.2m
epoch 26/300, lr_G=0.000010, loss0=0.1299, loss1=0.1471, 2.6s 1.2m/14.2m
epoch 27/300, lr_G=0.000010, loss0=0.0905, loss1=0.0610, 2.6s 1.3m/14.1m
epoch 28/300, lr_G=0.000010, loss0=0.1190, loss1=0.1744, 2.5s 1.3m/14.1m
epoch 29/300, lr_G=0.000010, loss0=0.0878, loss1=0.1051, 2.4s 1.4m/14.0m
epoch 30/300, lr_G=0.000010, loss0=0.1063, loss1=0.2932, val: psnr0=16.1216, val: psnr1=12.1412, 4.4s 1.4m/14.3m
epoch 31/300, lr_G=0.000010, loss0=0.0565, loss1=0.0619, 3.3s 1.5m/14.4m
epoch 32/300, lr_G=0.000010, loss0=0.1324, loss1=0.2506, 2.8s 1.5m/14.3m
epoch 33/300, lr_G=0.000010, loss0=0.0682, loss1=0.0959, 2.5s 1.6m/14.3m
epoch 34/300, lr_G=0.000010, loss0=0.0830, loss1=0.1601, 2.5s 1.6m/14.2m
epoch 35/300, lr_G=0.000010, loss0=0.0745, loss1=0.1045, 2.6s 1.7m/14.2m
epoch 36/300, lr_G=0.000010, loss0=0.1035, loss1=0.1388, 2.7s 1.7m/14.2m
epoch 37/300, lr_G=0.000010, loss0=0.1141, loss1=0.1652, 2.6s 1.7m/14.2m
epoch 38/300, lr_G=0.000010, loss0=0.0647, loss1=0.0679, 2.5s 1.8m/14.1m
epoch 39/300, lr_G=0.000010, loss0=0.1055, loss1=0.1823, 2.6s 1.8m/14.1m
epoch 40/300, lr_G=0.000010, loss0=0.1125, loss1=0.1326, val: psnr0=15.7277, val: psnr1=15.8706, 4.7s 1.9m/14.3m
epoch 41/300, lr_G=0.000010, loss0=0.1033, loss1=0.1550, 2.7s 2.0m/14.3m
